Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
1.000000e-01, -9.721637e-09, 2.124812e-08, 2.735444e-17, 1.012078e-16, -1.464202e-17, -1.526281e+02, 2.336649e-08, 9.975120e-09, 1.999894e+00, 2.307005e-01, -3.415886e-01 
2.000000e-01, 9.059286e-09, 4.713167e-09, 2.220912e-17, 2.121623e-17, -3.823955e-18, -1.598178e+02, 1.021198e-08, 4.343534e-09, 4.797224e-01, 4.852838e-01, -1.208522e-01 
3.000000e-01, 1.517758e-08, 1.467934e-08, 2.821283e-17, 2.567133e-17, -1.252269e-19, -1.535082e+02, 2.111497e-08, 5.182598e-09, 7.687121e-01, 2.462017e-01, -4.729504e-02 
4.000000e-01, 1.227213e-08, 4.597032e-09, 2.484056e-17, 2.240887e-17, 1.637024e-19, -1.576513e+02, 1.310488e-08, 4.964765e-09, 3.584122e-01, 3.627658e-01, -2.861511e-02 
5.000000e-01, 2.201532e-08, 7.211412e-09, 1.178208e-17, 1.067361e-17, 2.522247e-19, -1.527029e+02, 2.316633e-08, 3.438589e-09, 3.165486e-01, 1.407492e-01, -1.111012e-02 
6.000000e-01, 2.089692e-08, 5.136433e-09, 4.287187e-18, 4.996039e-18, -2.521166e-19, -1.533436e+02, 2.151893e-08, 2.051998e-09, 2.410205e-01, 1.046627e-01, -1.278359e-02 
7.000000e-01, 2.113488e-08, 4.268074e-09, 4.089747e-18, 3.699503e-18, -2.411066e-19, -1.533264e+02, 2.156153e-08, 1.995217e-09, 1.992646e-01, 9.050849e-02, -7.651687e-02 
8.000000e-01, 2.188699e-08, 4.148898e-09, 3.376748e-18, 3.601098e-18, 3.283204e-19, -1.530430e+02, 2.227675e-08, 1.872080e-09, 1.873373e-01, 8.365860e-02, 9.934296e-02 
9.000000e-01, 2.374035e-08, 3.014297e-09, 2.589585e-18, 2.273949e-18, -8.327850e-20, -1.524208e+02, 2.393095e-08, 1.601176e-09, 1.262936e-01, 6.336978e-02, -4.945110e-02 
1.000000e+00, 2.250051e-08, 2.161501e-09, 2.079856e-18, 1.713743e-18, 3.696699e-20, -1.529163e+02, 2.260409e-08, 1.443449e-09, 9.577065e-02, 5.785191e-02, 7.639720e-04 
1.100000e+00, 2.296399e-08, 2.478564e-09, 1.639833e-18, 1.507373e-18, -5.755232e-20, -1.527288e+02, 2.309736e-08, 1.275158e-09, 1.075164e-01, 5.339834e-02, -4.473686e-02 
1.200000e+00, 2.172411e-08, 1.885122e-09, 1.327202e-18, 1.287730e-18, 6.475855e-20, -1.532286e+02, 2.180575e-08, 1.156746e-09, 8.655874e-02, 5.182059e-02, 4.620197e-02 
1.300000e+00, 2.189025e-08, 1.822713e-09, 1.188989e-18, 9.969933e-19, 2.189003e-21, -1.531650e+02, 2.196600e-08, 1.089967e-09, 8.307434e-02, 4.547828e-02, -1.259839e-02 
1.400000e+00, 2.192128e-08, 1.745993e-09, 1.126719e-18, 1.006856e-18, -5.253721e-21, -1.531552e+02, 2.199070e-08, 1.060722e-09, 7.948053e-02, 4.566533e-02, -1.377611e-02 
1.500000e+00, 2.255830e-08, 1.314220e-09, 1.084703e-18, 9.402124e-19, -2.814585e-20, -1.529192e+02, 2.259655e-08, 1.039685e-09, 5.819304e-02, 4.299687e-02, -3.598003e-02 
1.600000e+00, 2.190413e-08, 8.516648e-10, 9.570176e-19, 8.345838e-19, 1.624898e-21, -1.531829e+02, 2.192068e-08, 9.782428e-10, 3.886190e-02, 4.167698e-02, -3.505864e-03 
