Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
1.000000e-01, -1.322871e-09, 2.844754e-09, 8.159939e-19, 8.813466e-18, -1.385096e-18, -1.700689e+02, 3.137294e-09, 2.907009e-09, 2.006071e+00, 3.460650e-01, -6.860246e-01 
2.000000e-01, -8.413350e-10, 1.209940e-09, 1.586899e-18, 6.291899e-18, -3.369963e-19, -1.766318e+02, 1.473703e-09, 2.252628e-09, 2.178396e+00, 1.136358e+00, -5.534981e-01 
3.000000e-01, -2.299641e-09, 2.854081e-09, 3.071393e-18, 1.807329e-18, -1.392010e-18, -1.687179e+02, 3.665259e-09, 1.914441e-09, 2.249026e+00, 3.005658e-01, 4.332047e-01 
4.000000e-01, -3.845555e-09, 2.224746e-09, 2.750780e-18, 1.864507e-18, 1.615152e-19, -1.670470e+02, 4.442723e-09, 1.545483e-09, 2.617114e+00, 3.358833e-01, 2.014842e-01 
5.000000e-01, 2.311279e-10, 1.574622e-09, 9.124162e-19, 9.179046e-19, -3.538538e-19, -1.759639e+02, 1.591494e-09, 9.033827e-10, 1.425054e+00, 6.327921e-01, 3.734035e-01 
6.000000e-01, 5.150413e-10, 6.666528e-10, 1.754612e-19, 1.782684e-19, -1.757733e-20, -1.814893e+02, 8.424331e-10, 4.002638e-10, 9.130012e-01, 5.221867e-01, 3.291389e-02 
7.000000e-01, 1.044154e-09, 7.756689e-10, 1.820871e-19, 1.854240e-19, -4.503596e-20, -1.777162e+02, 1.300738e-09, 3.743749e-10, 6.389212e-01, 3.665743e-01, -6.390845e-02 
8.000000e-01, 8.425508e-10, 8.245539e-10, 1.589422e-19, 1.157067e-19, -5.595550e-21, -1.785705e+02, 1.178890e-09, 3.635889e-10, 7.746033e-01, 3.201556e-01, -1.583744e-01 
9.000000e-01, 1.288941e-09, 9.978968e-10, 1.422233e-19, 1.403001e-19, -5.618295e-20, -1.757558e+02, 1.630082e-09, 2.951451e-10, 6.588094e-01, 2.711859e-01, -1.149972e-01 
1.000000e+00, 9.231176e-10, 8.575138e-10, 6.930061e-20, 8.414831e-20, -7.602471e-21, -1.779929e+02, 1.259951e-09, 2.619090e-10, 7.485718e-01, 2.311953e-01, 8.971090e-02 
1.100000e+00, 1.187399e-09, 9.041604e-10, 8.459744e-20, 5.767831e-20, -6.515225e-21, -1.765220e+02, 1.492455e-09, 2.616047e-10, 6.507972e-01, 1.820710e-01, -2.068970e-01 
1.200000e+00, 1.211650e-09, 8.849451e-10, 8.057952e-20, 4.639205e-20, -2.745171e-21, -1.764758e+02, 1.500408e-09, 2.570443e-10, 6.308149e-01, 1.644745e-01, -2.698676e-01 
1.300000e+00, 1.247419e-09, 9.450177e-10, 4.034514e-20, 5.699401e-20, 5.836763e-22, -1.761099e+02, 1.564964e-09, 2.167440e-10, 6.483337e-01, 1.433982e-01, 1.680014e-01 
1.400000e+00, 1.109268e-09, 1.056202e-09, 7.064246e-20, 6.032794e-20, 2.394722e-20, -1.762966e+02, 1.531678e-09, 2.994266e-10, 7.608975e-01, 1.327033e-01, -6.536354e-02 
