Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
1.000000e-01, -1.290416e-08, 2.240985e-08, 1.078728e-16, 1.144017e-16, -1.925120e-17, -1.517476e+02, 2.585960e-08, 1.137655e-08, 2.093251e+00, 3.726198e-01, 6.239963e-02 
2.000000e-01, -1.715348e-08, 9.601462e-09, 4.431549e-17, 1.326399e-16, 1.533707e-18, -1.541293e+02, 1.965782e-08, 8.004943e-09, 2.631303e+00, 5.404630e-01, -4.331998e-01 
3.000000e-01, -1.920428e-09, 2.471202e-08, 3.947747e-17, 5.203535e-17, -4.584792e-18, -1.521157e+02, 2.478653e-08, 7.257291e-09, 1.648353e+00, 2.514486e-01, 7.869993e-02 
4.000000e-01, 3.146205e-09, 3.194327e-08, 5.660848e-17, 4.332746e-17, 3.950439e-18, -1.498705e+02, 3.209784e-08, 6.650246e-09, 1.472619e+00, 2.325367e-01, -1.041574e-01 
5.000000e-01, 3.711981e-08, 2.782959e-08, 1.720329e-17, 1.705632e-17, 6.916678e-19, -1.466708e+02, 4.639360e-08, 4.220704e-09, 6.433241e-01, 8.741026e-02, 7.207461e-03 
6.000000e-01, 3.231992e-08, 1.573583e-08, 7.150925e-18, 6.242297e-18, -3.098549e-19, -1.488867e+02, 3.594709e-08, 2.594784e-09, 4.530943e-01, 7.179326e-02, -8.194122e-02 
7.000000e-01, 3.518601e-08, 1.333275e-08, 5.666200e-18, 5.968877e-18, 4.835383e-20, -1.484899e+02, 3.762735e-08, 2.395046e-09, 3.622046e-01, 6.454749e-02, 2.346629e-02 
8.000000e-01, 3.723629e-08, 1.279036e-08, 6.223472e-18, 5.247747e-18, -3.236332e-19, -1.480963e+02, 3.937175e-08, 2.433440e-09, 3.308651e-01, 5.983367e-02, -9.683353e-02 
9.000000e-01, 3.686784e-08, 9.756635e-09, 4.417655e-18, 3.489855e-18, 1.594221e-19, -1.483731e+02, 3.813698e-08, 2.106131e-09, 2.587075e-01, 4.885693e-02, -2.316549e-02 
1.000000e+00, 3.689556e-08, 7.472106e-09, 3.217544e-18, 2.657019e-18, -8.272557e-20, -1.484859e+02, 3.764458e-08, 1.778559e-09, 1.998179e-01, 4.374068e-02, -6.325683e-02 
1.100000e+00, 3.750933e-08, 7.989389e-09, 3.129042e-18, 2.112668e-18, -6.265378e-20, -1.483245e+02, 3.835075e-08, 1.749114e-09, 2.098612e-01, 3.851982e-02, -1.022892e-01 
1.200000e+00, 3.537853e-08, 5.952275e-09, 2.211869e-18, 1.732660e-18, 1.126458e-19, -1.489040e+02, 3.587576e-08, 1.495172e-09, 1.666843e-01, 3.643919e-02, 1.434493e-02 
1.300000e+00, 3.549210e-08, 5.714753e-09, 1.958975e-18, 1.553870e-18, 1.208215e-19, -1.488862e+02, 3.594924e-08, 1.409490e-09, 1.596446e-01, 3.436478e-02, 2.936683e-02 
