Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
1.000000e-01, -3.525383e-09, -5.146132e-09, 9.420402e-18, 4.206887e-17, -1.819572e-18, -1.640993e+02, 6.237868e-09, 5.472119e-09, -2.171421e+00, 7.441131e-01, 6.251785e-01 
2.000000e-01, 2.547367e-09, 1.817265e-10, 6.083574e-18, 4.448082e-18, -2.325656e-18, -1.718561e+02, 2.553841e-09, 2.396905e-09, 7.121830e-02, 8.566735e-01, -4.611371e-01 
3.000000e-01, 2.751341e-09, 1.386030e-09, 5.905302e-18, 3.465330e-18, -1.079962e-18, -1.702269e+02, 3.080740e-09, 2.131566e-09, 4.666553e-01, 7.131590e-01, -3.465905e-01 
4.000000e-01, 4.891062e-09, 5.984880e-09, 5.994391e-18, 4.256026e-18, 4.548169e-19, -1.622373e+02, 7.729248e-09, 2.323324e-09, 8.856334e-01, 2.850028e-01, -1.841251e-01 
5.000000e-01, 9.089775e-09, 5.642002e-09, 2.304148e-18, 1.742181e-18, -2.939398e-19, -1.594136e+02, 1.069842e-08, 1.372750e-09, 5.554995e-01, 1.374348e-01, -1.893784e-01 
6.000000e-01, 1.113425e-08, 4.547468e-09, 5.877097e-19, 7.005724e-19, 8.776848e-21, -1.583968e+02, 1.202709e-08, 7.810180e-10, 3.877452e-01, 6.847751e-02, 7.116068e-02 
7.000000e-01, 1.191884e-08, 3.583263e-09, 6.222085e-19, 6.105334e-19, -7.307295e-21, -1.580995e+02, 1.244582e-08, 7.856279e-10, 2.920425e-01, 6.303782e-02, -1.511252e-02 
8.000000e-01, 1.283726e-08, 1.080320e-09, 6.292897e-19, 4.897559e-19, -7.577730e-21, -1.577999e+02, 1.288264e-08, 7.918598e-10, 8.395721e-02, 5.444768e-02, -3.444342e-02 
9.000000e-01, 1.213932e-08, -3.782131e-10, 3.855129e-19, 3.501501e-19, -1.813471e-20, -1.583119e+02, 1.214521e-08, 6.217777e-10, -3.114596e-02, 4.864545e-02, -4.627399e-02 
1.000000e+00, 1.040360e-08, -1.300281e-09, 2.838619e-19, 2.715793e-19, -9.141470e-21, -1.595890e+02, 1.048454e-08, 5.347176e-10, -1.243390e-01, 4.951590e-02, -2.647250e-02 
1.100000e+00, 1.035115e-08, -1.853624e-09, 2.572690e-19, 3.169370e-19, 1.064388e-20, -1.595631e+02, 1.051581e-08, 5.054002e-10, -1.771961e-01, 5.369089e-02, -1.298615e-03 
1.200000e+00, 9.484504e-09, -2.303428e-09, 2.240951e-19, 1.844814e-19, -1.208177e-20, -1.602108e+02, 9.760205e-09, 4.768965e-10, -2.382496e-01, 4.360695e-02, -8.134591e-03 
1.300000e+00, 8.890505e-09, -2.770932e-09, 1.906841e-19, 1.810841e-19, -2.508403e-20, -1.606189e+02, 9.312311e-09, 4.517585e-10, -3.021314e-01, 4.397302e-02, -9.684282e-02 
1.400000e+00, 7.466226e-09, -2.828970e-09, 1.730335e-19, 1.435742e-19, -1.786098e-20, -1.619554e+02, 7.984210e-09, 4.256418e-10, -3.621874e-01, 4.609314e-02, -2.308091e-02 
1.500000e+00, 7.250016e-09, -1.370397e-09, 1.811603e-19, 1.742903e-19, 7.006498e-21, -1.626408e+02, 7.378395e-09, 4.223339e-10, -1.868158e-01, 5.703330e-02, 4.375813e-02 
1.600000e+00, 7.331350e-09, -1.285124e-09, 1.406712e-19, 1.288538e-19, -1.363482e-20, -1.625649e+02, 7.443134e-09, 3.807316e-10, -1.735286e-01, 4.741855e-02, -8.046164e-02 
1.700000e+00, 6.864552e-09, -1.411626e-09, 1.338040e-19, 1.018216e-19, 3.609758e-21, -1.630879e+02, 7.008193e-09, 3.620525e-10, -2.028126e-01, 4.613629e-02, 8.223654e-02 
