Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
1.000000e-01, 6.213000e-09, -3.478000e-09, 9.420400e-18, 4.206890e-17, -1.819570e-18, -1.629501e+02, 7.120242e-09, 4.331445e-09, -5.103315e-01, 8.034598e-01, -5.999711e-01 
2.000000e-01, 6.826000e-10, -7.627000e-10, 6.083570e-18, 4.448080e-18, -2.325660e-18, -1.797978e+02, 1.023550e-09, 2.736216e-09, -8.407625e-01, 1.704780e+00, 2.240505e-01 
3.000000e-01, -1.008000e-09, -3.665000e-09, 5.905300e-18, 3.465330e-18, -1.079960e-18, -1.684018e+02, 3.801091e-09, 1.756315e-09, -1.839194e+00, 6.595968e-01, 6.907900e-02 
4.000000e-01, 3.245000e-08, -2.941000e-09, 5.994390e-18, 4.256030e-18, 4.548170e-19, -1.497402e+02, 3.258300e-08, 2.428674e-09, -9.038480e-02, 6.402528e-02, 1.191489e-01 
5.000000e-01, 8.031000e-09, -1.900000e-09, 2.304150e-18, 1.742180e-18, -2.939400e-19, -1.616681e+02, 8.252694e-09, 1.551152e-09, -2.323118e-01, 1.551887e-01, -6.889861e-02 
6.000000e-01, 9.784000e-09, 3.116000e-09, 5.877100e-19, 7.005720e-19, 8.776850e-21, -1.597701e+02, 1.026821e-08, 7.766460e-10, 3.083228e-01, 8.060895e-02, 6.190447e-02 
7.000000e-01, 1.267000e-08, 1.366000e-09, 6.222080e-19, 6.105330e-19, -7.307290e-21, -1.578943e+02, 1.274342e-08, 7.877286e-10, 1.073989e-01, 6.140013e-02, -1.360191e-02 
8.000000e-01, 1.370000e-08, 1.809000e-09, 6.292900e-19, 4.897560e-19, -7.577730e-21, -1.571905e+02, 1.381892e-08, 7.905264e-10, 1.312843e-01, 5.086740e-02, -4.575758e-02 
9.000000e-01, 1.483000e-08, -5.605000e-10, 3.855130e-19, 3.501500e-19, -1.813470e-20, -1.565710e+02, 1.484059e-08, 6.219577e-10, -3.777703e-02, 3.979759e-02, -4.559347e-02 
1.000000e+00, 1.300000e-08, -2.409000e-09, 2.838620e-19, 2.715790e-19, -9.141470e-21, -1.575745e+02, 1.322132e-08, 5.354715e-10, -1.832293e-01, 3.920741e-02, -2.281885e-02 
