# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;9.166402316020510625e+03;7.283018445010676260e+03;5.269848519955834490e+03;1.184480970988187328e+05
2.000000000000000125e-09;7.051015606070599461e+03;4.553806736691207334e+03;3.933370907523703863e+03;1.184476452840643615e+05
4.000000000000000249e-09;4.583041880337463226e+03;1.658183404543071447e+03;1.565039735957328958e+03;1.184466465298406983e+05
6.000000000000000787e-09;3.522684604376411812e+02;-3.199379561586996715e+03;-1.205318264910503785e+03;1.184473022388393292e+05
8.000000000000000498e-09;7.756144509387238031e+03;5.789742515354130774e+03;7.618864307233659929e+03;1.184476388652278692e+05
1.000000000000000021e-08;1.903820696245343061e+04;1.889666889165813336e+04;1.357033441263137502e+04;1.184465109407327982e+05
1.200000000000000157e-08;9.166402316020510625e+03;6.872499586681413348e+03;6.776638868573631044e+03;1.184467032546372648e+05
1.400000000000000129e-08;1.762526267070914400e+03;-1.926806287718907697e+03;1.061485270885757927e+03;1.184484279744078522e+05
1.600000000000000100e-08;5.993299686970738549e+03;3.111824434483976802e+03;2.824687022042490298e+03;1.184482947095180425e+05
1.800000000000000236e-08;5.640757799437326867e+03;2.562346466346592933e+03;2.110344432239966409e+03;1.184477731882811204e+05
2.000000000000000042e-08;5.993299686970738549e+03;2.908584179074176063e+03;4.229877275490136526e+03;1.184480273850325757e+05
2.200000000000000178e-08;1.092920201018720218e+04;8.550336828434286872e+03;7.238172016265438288e+03;1.184469533022496180e+05
2.400000000000000315e-08;1.057666012265378595e+04;7.887142530025492306e+03;7.069574560568900779e+03;1.184465533677076746e+05
2.600000000000000121e-08;7.403557493604012052e+03;3.999116296429027443e+03;4.568088110513213906e+03;1.184472677700958884e+05
2.800000000000000257e-08;5.640757799437326867e+03;1.974622382823348971e+03;-1.108639055474341291e+02;1.184468507154095860e+05
3.000000000000000394e-08;-6.699020572728731167e+03;-1.227093185659928167e+04;-8.831199309719318990e+03;1.184467338852081884e+05
3.200000000000000199e-08;-2.468247152828907929e+03;-6.521351474446826614e+03;-5.814945174370020140e+03;1.184474856109497487e+05
3.400000000000000005e-08;-1.057989346195634425e+03;-4.303578433874732582e+03;-5.304683076521600015e+03;1.184470686671559815e+05
3.600000000000000472e-08;1.057397363754279013e+03;-1.171328090506605804e+03;7.640620617652311921e+02;1.184460924905584980e+05
3.800000000000000278e-08;8.461273412703872964e+03;7.869164130946810474e+03;4.215230644944182131e+03;1.184457476399576408e+05
4.000000000000000084e-08;3.525371089487415702e+03;2.182127383509068750e+03;3.270829185071488610e+03;1.184456587237944477e+05
4.200000000000000551e-08;3.172784073704190178e+03;1.803545219876396004e+03;1.950902135668206029e+03;1.184454110103144485e+05
4.400000000000000357e-08;5.993299686970738549e+03;5.042893265129519023e+03;6.104124372141202912e+03;1.184453513368860004e+05
4.600000000000000162e-08;9.166402316020510625e+03;8.350437263452869956e+03;4.477974632260375074e+03;1.184461089083541447e+05
4.800000000000000630e-08;-7.054023304124091283e+02;-3.646957736262396793e+03;-3.198712084342550952e+02;1.184461220643685228e+05
5.000000000000000435e-08;1.762526267070914400e+03;-8.563386126963014249e+02;-2.296800858246700955e+03;1.184458527719796402e+05
5.200000000000000241e-08;-2.115660137045682404e+03;-5.385317494249087758e+03;-3.059474311302081787e+03;1.184467799409649451e+05
5.400000000000000047e-08;2.467655170387552062e+03;2.748645959900459275e+02;-1.143207988507347181e+03;1.184470537758541614e+05
5.600000000000000514e-08;2.115113282854139925e+03;1.757329840695310850e+02;2.046435051536507899e+03;1.184463443024727749e+05
5.800000000000000320e-08;9.518944203553925036e+03;9.192085970229849408e+03;6.394088228687702212e+03;1.184454209156290599e+05
