# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;6.864380107375225634e+03;-1.083169624209561152e+04;-1.111454366939989268e+04;9.512480096252553631e+04
2.000000000000000125e-09;1.011638231891451869e+04;-3.525544477838644525e+03;-7.202758451659422462e+03;9.512459642816735141e+04
4.000000000000000249e-09;3.612377895835938943e+03;-1.116361910356751468e+04;-1.001313014045241289e+04;9.511493812639376847e+04
6.000000000000000787e-09;4.018878172278347847e+03;-1.110551653516834085e+04;-1.083317733462354227e+04;9.510572580780602584e+04
8.000000000000000498e-09;4.425378448720756751e+03;-1.110338708833756391e+04;-1.169243082208105079e+04;9.510309466113781673e+04
1.000000000000000021e-08;1.376561335358443330e+03;-1.593666981008701441e+04;-1.646665715116549109e+04;9.510633924491667130e+04
1.200000000000000157e-08;-8.591251450305886692e+02;-2.136348172463783703e+04;-1.819196636623429731e+04;9.511147227131626278e+04
1.400000000000000129e-08;6.661064929109788864e+03;-1.249172791708863224e+04;-1.448878655204634015e+04;9.511466423687385395e+04
1.600000000000000100e-08;3.409062717570502627e+03;-1.618687323358155118e+04;-1.640650563621902256e+04;9.511421486039523734e+04
1.800000000000000236e-08;2.392877066508704957e+03;-1.784637439804835594e+04;-1.698031402841744421e+04;9.511123048240202479e+04
2.000000000000000042e-08;2.392877066508704957e+03;-1.675641637775838899e+04;-1.681945086198906938e+04;9.510813174558129685e+04
2.200000000000000178e-08;3.409062717570502627e+03;-1.453642144528242352e+04;-1.369327721842102801e+04;9.510628167482571735e+04
2.400000000000000315e-08;5.238379001605581834e+03;-9.779890016869379906e+03;-1.237513017092343216e+04;9.510541902674894664e+04
2.600000000000000121e-08;-1.875440876180850182e+03;-1.774361870912287122e+04;-1.715707725423764350e+04;9.510483201276487671e+04
2.800000000000000257e-08;-3.907942258392909480e+03;-2.098519081706350698e+04;-1.928377797141404881e+04;9.510462511573056690e+04
3.000000000000000394e-08;1.570605060312091155e+02;-1.639012861640640767e+04;-1.612201518231677801e+04;9.510537014761116006e+04
3.200000000000000199e-08;3.205877619393522764e+03;-1.246114755282058468e+04;-1.370150819583338307e+04;9.510669523082811793e+04
3.400000000000000005e-08;3.815562994012911531e+03;-1.246613154431760267e+04;-1.180715113007617947e+04;9.510702555750151805e+04
3.600000000000000472e-08;5.441564099782554877e+03;-1.018800696801022423e+04;-1.246439487924626701e+04;9.510502752327153576e+04
3.800000000000000278e-08;3.603756842966454315e+02;-1.755275073443578003e+04;-1.450772351315959168e+04;9.510117737954440236e+04
4.000000000000000084e-08;6.864380107375225634e+03;-8.970776344211501055e+03;-1.069811490222130487e+04;9.509760361865400046e+04
4.200000000000000551e-08;3.205877619393522764e+03;-1.182980535354058520e+04;-1.178549278212005083e+04;9.509625107306512655e+04
4.400000000000000357e-08;2.596062164685677544e+03;-1.168761875114191207e+04;-1.201818098879156605e+04;9.509742671691003488e+04
