# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;-3.873161392771110513e+03;-4.447341355190488684e+03;-3.850623204947776685e+03;7.187686574872399797e+04
2.000000000000000125e-09;-5.139502910457525104e+03;-6.838641442526140054e+03;-6.249804896945948713e+03;7.187765483976301039e+04
4.000000000000000249e-09;-4.847260662012418834e+03;-6.713972893839164499e+03;-6.867372674909814123e+03;7.187423370573877764e+04
6.000000000000000787e-09;-5.431620482175479992e+03;-7.646790751770838142e+03;-6.940991787809543894e+03;7.186954594054899644e+04
8.000000000000000498e-09;-2.704317075717834086e+03;-3.751735831281425362e+03;-4.192632623306475580e+03;7.186667388333765848e+04
1.000000000000000021e-08;-3.483546620420020645e+03;-3.865429484762033553e+03;-4.305968029937197571e+03;7.186642523153216462e+04
1.200000000000000157e-08;-4.165403641216219512e+03;-4.780721636296497309e+03;-3.910096018422409998e+03;7.186752553921817162e+04
1.400000000000000129e-08;-9.511129385014963873e+02;2.143637794841197319e+00;-1.152744128742779282e+02;7.186802423383315909e+04
1.600000000000000100e-08;6.073461509028734326e+02;3.225704909992840840e+03;1.915487543240044261e+03;7.186679758212126035e+04
1.800000000000000236e-08;-3.483546620420020645e+03;-1.727260181803125533e+03;-1.601104864878943772e+03;7.186426574652346608e+04
2.000000000000000042e-08;-4.944633185918402887e+03;-4.329648323170840740e+03;-3.614171278927853564e+03;7.186176464700420911e+04
2.200000000000000178e-08;-4.555018413567309835e+03;-4.002402282415205718e+03;-4.240466337011050200e+03;7.186021351678481733e+04
2.400000000000000315e-08;-5.236875434363509157e+03;-5.366669122190505732e+03;-5.271935884121397976e+03;7.185944583765701100e+04
2.600000000000000121e-08;-5.723862730620586262e+03;-6.526542867856333032e+03;-6.452343043101354851e+03;7.185876007676635345e+04
2.800000000000000257e-08;-5.431620482175479992e+03;-6.855045594954906846e+03;-6.372617729738282833e+03;7.185789008591329912e+04
3.000000000000000394e-08;-3.386174096514033408e+03;-4.392264320868402137e+03;-4.755575996388113708e+03;7.185716425886360230e+04
3.200000000000000199e-08;-3.775788868865126460e+03;-4.932586074064776767e+03;-5.011886427253689362e+03;7.185686534603036125e+04
3.400000000000000005e-08;-2.119957255554772928e+03;-3.342071010405590641e+03;-2.044718425846163882e+03;7.185673549374236609e+04
3.600000000000000472e-08;3.139904509548550323e+03;4.745919371215495630e+03;2.678396697572956782e+03;7.185625871062134684e+04
3.800000000000000278e-08;-7.562432139623742842e+02;3.259689973272033967e+02;9.971403971729451996e+02;7.185519229435469606e+04
4.000000000000000084e-08;5.099736269968895499e+02;2.138543059254297987e+03;1.940304896174282476e+03;7.185376307996496325e+04
4.200000000000000551e-08;-9.511129385014963873e+02;1.020969500911181967e+03;9.933038400181613952e+02;7.185236387201934122e+04
4.400000000000000357e-08;-8.537404145955090371e+02;1.186593959989855648e+03;1.349437285570071253e+03;7.185119333813720732e+04
4.600000000000000162e-08;-1.535472758664557432e+03;8.349813439923674423e+02;4.742461564883270171e+02;7.185012803025053290e+04
4.800000000000000630e-08;-2.509572027905862797e+03;-7.628998385558370501e+02;-4.149286055672273505e+02;7.184887527986547502e+04
5.000000000000000435e-08;-2.801814276350972250e+03;-1.248645907745547447e+03;-1.644195287052756839e+03;7.184722378994998871e+04
5.200000000000000241e-08;-4.847260662012418834e+03;-4.640495779756856791e+03;-4.560425385392343742e+03;7.184526739069170435e+04
5.400000000000000047e-08;-5.334247958269495939e+03;-6.645714216304272668e+03;-5.262238924404042336e+03;7.184338504755405302e+04
5.600000000000000514e-08;-4.641256422444191685e+02;-6.741998581146708602e+02;-1.833916349184955834e+03;7.184192677086498588e+04
5.800000000000000320e-08;-2.314702303366740580e+03;-3.210924610551046499e+03;-2.808792658966897307e+03;7.184081156841012125e+04
6.000000000000000787e-08;6.073461509028734326e+02;-8.098938785766040382e+01;1.790152969523533102e+02;7.183954175770992879e+04
6.199999999999999931e-08;1.191830647793088929e+03;1.674702384410262312e+03;6.137281818192350329e+02;7.183771389383026690e+04
6.400000000000000399e-08;3.151039024577673899e+02;2.199936157680713222e+02;1.583155404105607886e+03;7.183549883717340708e+04
6.600000000000000866e-08;3.432022081266505211e+03;5.564825378728462965e+03;4.041075871011737490e+03;7.183349106838587613e+04
6.800000000000000010e-08;2.298633073981234176e+01;1.731338596988935024e+03;2.121838653817736486e+03;7.183221282382200297e+04
7.000000000000000477e-08;-4.641256422444191685e+02;1.205923815326365002e+03;1.286696940661000781e+03;7.183165245804593724e+04
7.200000000000000945e-08;-1.730342483203679421e+03;-2.862322078545075783e+02;-7.113625371678390366e+02;7.183126949924997461e+04
7.400000000000000089e-08;-3.093931848068927138e+03;-3.104776857433058467e+03;-1.367874196750352212e+03;7.183048246010871662e+04
7.600000000000000556e-08;3.042407308915412159e+03;4.743954170354430971e+03;3.397298859446818824e+03;7.182926047468853358e+04
7.800000000000001023e-08;7.047186748088573722e+02;1.872505123757684487e+03;1.528019989292210312e+03;7.182816221412258164e+04
8.000000000000000167e-08;5.099736269968895499e+02;1.837520574174413923e+02;9.700337204290553927e+02;7.182782173736944969e+04
8.200000000000000635e-08;2.068432716401257494e+03;1.815090879894007458e+03;2.038573797466990072e+03;7.182835160067613469e+04
8.400000000000001102e-08;5.964555504566749732e+03;6.616116217014583526e+03;6.218620640893816017e+03;7.182926849674069672e+04
8.600000000000000246e-08;4.600903801337926780e+03;5.806216996304982786e+03;4.758130497552803718e+03;7.182996473812422482e+04
8.800000000000000714e-08;3.139904509548550323e+03;3.038292853979626670e+03;4.580961312766419724e+03;7.183022212783319992e+04
9.000000000000001181e-08;4.698313728262057339e+03;6.059666380299953744e+03;4.471572694926871918e+03;7.183023007519191015e+04
