# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;3.571531473588612243e+03;6.599070280058134813e+03;5.458268782997387461e+03;1.958655309680335922e+05
2.000000000000000125e-09;-1.401650916921406861e+03;1.812301594785356656e+03;2.236855436113255564e+03;1.958640287600764132e+05
4.000000000000000249e-09;1.053711271903920448e+02;3.618452153635444120e+03;3.876538255878316704e+03;1.958626767072023067e+05
6.000000000000000787e-09;5.078553517700411248e+03;8.397004127730615437e+03;8.028789638240065869e+03;1.958637060568846064e+05
8.000000000000000498e-09;5.530660130933951223e+03;7.535918844938395523e+03;7.284103181455866434e+03;1.958660374268842279e+05
1.000000000000000021e-08;3.119424860355072724e+03;3.376919248263584450e+03;3.395533029614482075e+03;1.958675290548528137e+05
1.200000000000000157e-08;-4.533107722078759139e+01;-1.324680983474652749e+03;-1.132572192336607259e+03;1.958678901205344591e+05
1.400000000000000129e-08;2.560733316015720220e+02;-1.659418289820431028e+03;-1.125677189537964523e+03;1.958657699708478758e+05
1.600000000000000100e-08;5.681362335345130305e+03;4.068487275240942836e+03;3.722686764550511725e+03;1.958636277434836375e+05
1.800000000000000236e-08;7.640490992690468374e+03;6.184519161128207088e+03;6.185797425996571292e+03;1.958650689896520635e+05
2.000000000000000042e-08;7.791193197101649275e+03;6.364088327141072114e+03;5.580640033694537124e+03;1.958679825267697161e+05
2.200000000000000178e-08;-2.155163867965522968e+03;-4.636649352113017812e+03;-4.237562939475290477e+03;1.958682168464722636e+05
2.400000000000000315e-08;-4.566397209556183952e+03;-7.286191935510288204e+03;-6.320265479408873944e+03;1.958643912066870253e+05
2.600000000000000121e-08;2.516616042710352758e+03;1.711862470940686762e+02;-6.599407480241206940e+02;1.958606086862634111e+05
2.800000000000000257e-08;1.160286558068651402e+03;-2.029057257948414190e+03;-1.716133770734653808e+03;1.958608540251456143e+05
3.000000000000000394e-08;2.365904193358090652e+03;-1.395743763912760187e+03;-1.876775816485373070e+03;1.958640883083889494e+05
3.200000000000000199e-08;-1.703055325743766616e+03;-6.421352673132162636e+03;-5.831862857306668047e+03;1.958661434495846916e+05
3.400000000000000005e-08;1.461690966891011385e+03;-3.093858757037175110e+03;-3.234507982489391452e+03;1.958643631159414363e+05
3.600000000000000472e-08;1.913797580124551132e+03;-2.588828396266326763e+03;-2.582027179788449303e+03;1.958626312345064071e+05
