# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;6.864380107375225634e+03;-7.769542317440122133e+03;-8.502923063174908748e+03;8.983447534236233332e+04
2.000000000000000125e-09;1.011638231891451869e+04;-4.417120748995541362e+03;-7.626263564995606430e+03;8.983119230998812418e+04
4.000000000000000249e-09;3.612377895835938943e+03;-1.378727175481236191e+04;-1.210155371465662029e+04;8.982783898666132882e+04
6.000000000000000787e-09;4.018878172278347847e+03;-1.384134546756223426e+04;-1.345510167779095536e+04;8.982469871367816813e+04
8.000000000000000498e-09;4.425378448720756751e+03;-1.387920124194387063e+04;-1.439363044030961464e+04;8.982173002192609420e+04
1.000000000000000021e-08;1.376561335358443330e+03;-1.828225919644610622e+04;-1.844578410406125477e+04;8.981869251673686085e+04
1.200000000000000157e-08;-8.591251450305886692e+02;-2.115175379416871874e+04;-1.819686151800857624e+04;8.981562565983034438e+04
1.400000000000000129e-08;6.661064929109788864e+03;-1.111864565781931742e+04;-1.362978922502962996e+04;8.981269957866928598e+04
1.600000000000000100e-08;3.409062717570502627e+03;-1.527740437959533483e+04;-1.526872434435202740e+04;8.980960122452850919e+04
1.800000000000000236e-08;2.392877066508704957e+03;-1.610135399417515146e+04;-1.551649093415759853e+04;8.980627594669905375e+04
2.000000000000000042e-08;2.392877066508704957e+03;-1.558179123806388816e+04;-1.560154053013460361e+04;8.980238583142304560e+04
2.200000000000000178e-08;3.409062717570502627e+03;-1.374647339997586278e+04;-1.318745800046640397e+04;8.979801400511033717e+04
2.400000000000000315e-08;5.238379001605581834e+03;-1.115762708416674286e+04;-1.360026406570055588e+04;8.979374791621259646e+04
2.600000000000000121e-08;-1.875440876180850182e+03;-2.036500026222626911e+04;-1.926107094143150607e+04;8.978952935510633688e+04
2.800000000000000257e-08;-3.907942258392909480e+03;-2.268693256670784103e+04;-2.089389559371446740e+04;8.978559207834480912e+04
3.000000000000000394e-08;1.570605060312091155e+02;-1.711293821558839409e+04;-1.706638572113981354e+04;8.978242062963290664e+04
