# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;9.869160037225266933e+03;1.487705648976378143e+03;-8.217674517218256369e+03;1.093571968186360027e+05
2.000000000000000125e-09;-6.479598832762309030e+03;-1.987402531095116865e+04;-1.537098502039897721e+04;1.091854743492230045e+05
4.000000000000000249e-09;-5.117056937962283882e+03;-1.365190106918179845e+04;-1.413562089119284246e+04;1.092665197853406862e+05
6.000000000000000787e-09;-3.300528174630341709e+03;-8.226789302081451751e+03;-3.372093334886740649e+03;1.094806709117453865e+05
8.000000000000000498e-09;1.577331448495731638e+04;1.600484093037495040e+04;4.807706042668345617e+03;1.095603305354482873e+05
1.000000000000000021e-08;-2.391973148362232678e+03;-1.101971630126598757e+04;-2.980740845897293184e+03;1.094356372625994991e+05
1.200000000000000157e-08;9.415173168693334446e+03;5.189059278932079906e+03;-2.553866672122793261e+03;1.092854485847782780e+05
1.400000000000000129e-08;-1.011265635942622612e+04;-2.147823956905751038e+04;-1.062763543674213179e+04;1.092743637576510664e+05
1.600000000000000100e-08;1.486475945868919189e+04;1.460658190898786597e+04;7.796009877706907901e+03;1.093750908780230238e+05
1.800000000000000236e-08;7.598644405361391364e+03;-2.322050622436800040e+02;-1.692281648169155233e+03;1.094532784235480940e+05
2.000000000000000042e-08;4.419573747229407672e+03;-1.977013208755233791e+03;3.641933434758539079e+03;1.094319884937806783e+05
2.200000000000000178e-08;1.531874632722112437e+04;1.139261099284110423e+04;5.273389883492113768e+03;1.093529448628693644e+05
2.400000000000000315e-08;6.236102510561349845e+03;2.968603227958665229e+02;3.334509482387424214e+03;1.093059583808578027e+05
2.600000000000000121e-08;7.144657536829458877e+03;3.828260360508458689e+03;5.038675347504424280e+03;1.093248483638787293e+05
2.800000000000000257e-08;1.531874632722112437e+04;1.704155147976789158e+04;1.727347771036613267e+04;1.093603265140905860e+05
3.000000000000000394e-08;2.485595830161707636e+04;2.769019794824955170e+04;2.389204229524417678e+04;1.093441289137936838e+05
3.200000000000000199e-08;2.303942953828511600e+04;2.261018993720348226e+04;1.980377136037431774e+04;1.092901643469739938e+05
3.400000000000000005e-08;9.869160037225266933e+03;4.669521309031901183e+03;8.203638266947702505e+03;1.092623672365480452e+05
3.600000000000000472e-08;7.144657536829458877e+03;4.776817204287886852e+03;3.014633176670467947e+03;1.092890114902799833e+05
3.800000000000000278e-08;-7.841559438358091029e+03;-1.053508947700125464e+04;-6.302779363411391387e+03;1.093074042739422439e+05
4.000000000000000084e-08;-6.479598832762309030e+03;-5.586283850235631689e+02;-3.412999151179974433e+02;1.092833047923500417e+05
4.200000000000000551e-08;-6.025030675026117024e+03;4.461530462060414720e+03;6.114225456847430905e+03;1.092383615312398033e+05
4.400000000000000357e-08;6.690670668297541852e+03;2.404933478420885876e+04;2.074970082951849326e+04;1.092212474382015789e+05
4.600000000000000162e-08;8.961186300161416511e+03;2.391180297765883734e+04;2.346018385322325048e+04;1.092319941718263872e+05
4.800000000000000630e-08;1.531874632722112437e+04;2.969769767105279607e+04;2.552977268854543217e+04;1.092460029185486055e+05
5.000000000000000435e-08;1.695071246833600298e+03;7.776212571746291360e+03;9.711588974648679141e+03;1.092352260102766304e+05
5.200000000000000241e-08;-2.391973148362232678e+03;5.616543828182941979e+03;8.292754266292293323e+03;1.091984002550426085e+05
