# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;-2.746213674350091765e+02;1.612759083189594094e+02;-9.442321522822021507e+01;1.806733710344413703e+05
2.000000000000000125e-09;-2.958277603261940385e+03;-2.686626877576462448e+03;-2.198964070659159916e+03;1.806742648886106908e+05
4.000000000000000249e-09;-1.840101817833977293e+03;-1.454368196093535516e+03;-1.853197407767540653e+03;1.806740084581591364e+05
6.000000000000000787e-09;-4.300105721175407780e+03;-4.512734626797538112e+03;-3.941669624962785747e+03;1.806746022126349271e+05
8.000000000000000498e-09;-1.169173446043985678e+03;8.861159092154413486e+01;3.696844467056798749e+02;1.806746631750412926e+05
1.000000000000000021e-08;1.290830457297442990e+03;3.101265501562579175e+03;1.750588074317726068e+03;1.806749700908239756e+05
1.200000000000000157e-08;-2.734653896442953737e+03;-2.096632842419436201e+03;-1.084178288121271180e+03;1.806750818059170269e+05
1.400000000000000129e-08;-9.455497392249991435e+02;-3.098748033797164680e+02;-7.321381732713199426e+02;1.806750260657352337e+05
1.600000000000000100e-08;-1.392825778529488161e+03;-9.767413210930099012e+02;-5.988526281486847438e+02;1.806756736221466854e+05
1.800000000000000236e-08;-4.982736999205116604e+02;4.192179290566564873e+02;1.496102621781756454e+02;1.806751569087251555e+05
2.000000000000000042e-08;-2.746213674350091765e+02;9.352693937555233106e+02;1.038579516268349835e+03;1.806756512218198914e+05
2.200000000000000178e-08;-9.455497392249991435e+02;-1.756269041714258776e+02;-9.311079713673899505e+02;1.806756002800499264e+05
2.400000000000000315e-08;-5.194657799784384224e+03;-5.266991344349400606e+03;-4.090080128529400099e+03;1.806761435313843249e+05
2.600000000000000121e-08;-2.287377857138466425e+03;-1.128414064141456038e+03;-1.142141220801371674e+03;1.806758739615345839e+05
2.800000000000000257e-08;1.514482789782945474e+03;3.619494333854105207e+03;3.190544177413175930e+03;1.806749997497710865e+05
3.000000000000000394e-08;8.435544179929554502e+02;1.771081482072426297e+03;7.949489716880635797e+02;1.806764458912993141e+05
3.200000000000000199e-08;-3.181929935747442869e+03;-4.200696835686176200e+03;-2.590599759898810589e+03;1.806765223729489371e+05
3.400000000000000005e-08;8.435544179929554502e+02;6.754994542962231208e+01;-1.229255337571776408e+03;1.806763651710049890e+05
3.600000000000000472e-08;-3.852829681870918193e+03;-4.951629672011662478e+03;-3.906118849785372731e+03;1.806768908507267770e+05
3.800000000000000278e-08;-3.629205975051932000e+03;-2.601624241882644128e+03;-3.399363756715538329e+03;1.806765344337952265e+05
4.000000000000000084e-08;-7.431037996306827154e+03;-5.818884676077927907e+03;-4.860786041514184035e+03;1.806763590928206395e+05
4.200000000000000551e-08;-3.629205975051932000e+03;-1.550277054978294700e+03;-2.161703765470520011e+03;1.806766232559465570e+05
4.400000000000000357e-08;-2.287377857138466425e+03;-1.862969229739712318e+03;-1.485645513984934951e+03;1.806764971381828072e+05
4.600000000000000162e-08;3.962783786884663755e+02;2.240951524559059465e+02;-4.926980904352095081e+02;1.806751126844241517e+05
4.800000000000000630e-08;-2.287377857138466425e+03;-2.380269035304969293e+03;-1.537479269089511945e+03;1.806760447096891003e+05
5.000000000000000435e-08;-7.218974067394982512e+02;1.070803146331934840e+03;1.874520114394836412e+02;1.806758740565191838e+05
5.200000000000000241e-08;-3.405553642566429517e+03;-2.037864859718553134e+03;-1.185335179968256853e+03;1.806756918722490373e+05
5.400000000000000047e-08;3.962783786884663755e+02;1.023277536934503587e+03;-2.132943751465500100e+02;1.806741433753540914e+05
5.600000000000000514e-08;-4.300105721175407780e+03;-6.853579782899207203e+03;-5.919801302839157870e+03;1.806750202830514754e+05
5.800000000000000320e-08;-2.958277603261940385e+03;-5.349150211702355591e+03;-5.357351574658066966e+03;1.806752019210182480e+05
6.000000000000000787e-08;-4.076482014356420677e+03;-5.644639057116422919e+03;-5.308275925752474905e+03;1.806747084033559659e+05
6.199999999999999931e-08;-1.616449485348474809e+03;-1.218168204666137171e+03;-1.526271801061862789e+03;1.806743808924114855e+05
6.400000000000000399e-08;-2.063725524652963941e+03;-1.847523423348800861e+03;-2.167307182191514585e+03;1.806734536052009789e+05
6.600000000000000866e-08;-1.840101817833977293e+03;-2.226722268642559357e+03;-1.943170885411840800e+03;1.806749799250744109e+05
6.800000000000000010e-08;-2.287377857138466425e+03;-3.625756914753132151e+03;-4.300189231234704494e+03;1.806744697975976742e+05
7.000000000000000477e-08;-5.641933839088873356e+03;-7.450962684652105963e+03;-6.182547375452457345e+03;1.806733516352981969e+05
7.200000000000000945e-08;-1.840101817833977293e+03;-2.311677315211774840e+03;-2.826777395236495067e+03;1.806753642208771198e+05
7.400000000000000089e-08;-4.982736999205116604e+02;-7.849033299787843134e+02;-9.344647476427562651e+02;1.806736778328777873e+05
7.600000000000000556e-08;-9.455497392249991435e+02;-1.708224627459901967e+03;-2.055531188006571028e+03;1.806737073358593043e+05
7.800000000000001023e-08;-2.734653896442953737e+03;-3.614491883902646805e+03;-2.983474542652806576e+03;1.806755846386064950e+05
8.000000000000000167e-08;-1.840101817833977293e+03;-1.789060766218550270e+03;-2.331026777370359923e+03;1.806733709749666741e+05
8.200000000000000635e-08;-4.076482014356420677e+03;-3.808353708178434772e+03;-3.419425335967964202e+03;1.806740169214984344e+05
8.400000000000001102e-08;-2.958277603261940385e+03;-2.292147056286321458e+03;-2.099442998648577486e+03;1.806749271196379268e+05
8.600000000000000246e-08;3.962783786884663755e+02;9.186559182128730754e+02;4.901646647310335538e+02;1.806737493376288621e+05
8.800000000000000714e-08;1.726546718694798699e+02;-6.708468040770750349e+02;-9.425265150671657466e+02;1.806744213560471253e+05
