# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;4.961411147890066786e+03;-4.608627645499364007e+03;-5.769316666863481259e+03;1.510008706013019837e+05
2.000000000000000125e-09;7.500868025352573341e+02;-9.391100617948279250e+03;-9.573676710848290895e+03;1.510054666762421257e+05
4.000000000000000249e-09;2.013484106141699840e+03;-1.012658007602579892e+04;-8.837917869442520896e+03;1.510105497247508320e+05
6.000000000000000787e-09;6.224808451496509406e+03;-4.653647315220994642e+03;-6.092331041597411968e+03;1.510159774880798068e+05
8.000000000000000498e-09;3.698013844283624621e+03;-8.436454816716024652e+03;-7.623813891134865116e+03;1.510215028812016244e+05
1.000000000000000021e-08;4.119146278819106556e+03;-7.486866571953375569e+03;-8.280239981354039628e+03;1.510265248559593165e+05
1.200000000000000157e-08;7.500868025352573341e+02;-1.157310280344684907e+04;-1.046674214523230330e+04;1.510305475617665797e+05
1.400000000000000129e-08;4.540278713354585307e+03;-6.113645578641503562e+03;-6.332319017358153360e+03;1.510339187079997791e+05
1.600000000000000100e-08;5.171909983968283086e+03;-3.595722949599673029e+03;-4.026712364987092315e+03;1.510376113975445624e+05
1.800000000000000236e-08;5.593042418503761837e+03;-2.309676144742203178e+03;-1.488836753145558760e+03;1.510425407490908110e+05
2.000000000000000042e-08;1.043613279685131965e+04;5.126882270149915712e+03;3.677818159940128680e+03;1.510489041013240931e+05
2.200000000000000178e-08;4.119146278819106556e+03;-1.739329479736174108e+03;-2.026238098018395249e+03;1.510559604103902238e+05
2.400000000000000315e-08;7.500868025352573341e+02;-7.666119986369361868e+03;-6.361104217490866176e+03;1.510624757513260411e+05
2.600000000000000121e-08;3.276881409748142232e+03;-5.287898875101265730e+03;-6.008006108179354669e+03;1.510676537066590099e+05
2.800000000000000257e-08;1.381718073148953636e+03;-8.575343073226424167e+03;-8.083110028174021863e+03;1.510716743281171948e+05
3.000000000000000394e-08;2.645115376755398302e+03;-7.577663568885618588e+03;-7.446412211768358247e+03;1.510754897319556621e+05
3.200000000000000199e-08;4.119146278819106556e+03;-5.174966205700562568e+03;-5.228920419291243888e+03;1.510799138720527117e+05
3.400000000000000005e-08;3.066247811290876598e+03;-4.674293249881040538e+03;-5.485093759490555385e+03;1.510847668751776218e+05
3.600000000000000472e-08;-2.408460361432469654e+03;-1.008373252257033892e+04;-9.251790905799411121e+03;1.510892517613753444e+05
3.800000000000000278e-08;-1.566195492361507377e+03;-7.766705427191081981e+03;-7.721436982781968254e+03;1.510930889888138918e+05
4.000000000000000084e-08;-1.776761709629248344e+03;-6.268079231195603825e+03;-6.299219606611703057e+03;1.510969732943481067e+05
4.200000000000000551e-08;3.289543679997771051e+02;-2.874067474298673915e+03;-2.579499448840110290e+03;1.511016845499330666e+05
4.400000000000000357e-08;2.645115376755398302e+03;1.193113517832553043e+03;2.757034766828692227e+02;1.511073097152495466e+05
4.600000000000000162e-08;1.381718073148953636e+03;-5.484064866194530623e+02;-6.384672299706290488e+01;1.511131781969883014e+05
4.800000000000000630e-08;2.223982942219915913e+03;2.894187210775853600e+02;-5.846878532819391694e+02;1.511182934003328264e+05
5.000000000000000435e-08;-1.776761709629248344e+03;-5.678806381111622613e+03;-4.834175443132252440e+03;1.511224321085633710e+05
5.200000000000000241e-08;9.605856386134735203e+02;-3.425976171608606819e+03;-3.038547019608420669e+03;1.511264308910898690e+05
5.400000000000000047e-08;3.698013844283624621e+03;6.406477470331774384e+02;-2.515201407029089751e+02;1.511311852615935495e+05
5.600000000000000514e-08;-5.133105010711851719e+02;-3.711738692244201957e+03;-3.630815772488327639e+03;1.511368475443245261e+05
5.800000000000000320e-08;-9.217806653570495712e+01;-3.325057347050511908e+03;-1.651678029927090620e+03;1.511428460290431685e+05
6.000000000000000787e-08;7.698704591181168325e+03;8.613991018486158282e+03;6.600356460605508801e+03;1.511483437082117598e+05
6.199999999999999931e-08;9.605856386134735203e+02;2.398383519173286913e+03;2.289357946679214365e+03;1.511529883579577727e+05
6.400000000000000399e-08;-1.566195492361507377e+03;-1.285359000824159239e+03;4.699929661128408043e+01;1.511573170921448618e+05
6.600000000000000866e-08;3.276881409748142232e+03;4.903328914805526438e+03;4.009220803631265881e+03;1.511620348588414781e+05
6.800000000000000010e-08;5.394532040779913586e+02;1.463042482896606316e+03;1.045573926210076024e+03;1.511671670893452538e+05
7.000000000000000477e-08;-1.145063057826027034e+03;-2.687438889217504766e+03;-1.740878644045034889e+03;1.511721844283668033e+05
7.200000000000000945e-08;5.394532040779913586e+02;-1.897042993265124323e+03;-2.757611889225292543e+03;1.511766074268641532e+05
7.400000000000000089e-08;-1.355629275093768229e+03;-6.311243929161923916e+03;-5.317936542719835415e+03;1.511802984260335506e+05
7.600000000000000556e-08;1.183207695425111581e+02;-5.483155496444887831e+03;-6.687010254426867505e+03;1.511835835091128829e+05
7.800000000000001023e-08;-4.303556316842133128e+03;-1.254724109032058914e+04;-1.113149614408904199e+04;1.511871326860708941e+05
8.000000000000000167e-08;-2.829592795967951588e+03;-1.121623634118857444e+04;-1.280599018101627735e+04;1.511913394526176562e+05
8.200000000000000635e-08;-8.725446879464683661e+03;-2.009445252472910579e+04;-1.719914151138605303e+04;1.511958946270965680e+05
8.400000000000001102e-08;3.487380245826358532e+03;-5.159110657961654397e+03;-7.123680111756693805e+03;1.512001305399557750e+05
8.600000000000000246e-08;-3.028116649929709183e+02;-8.556215547064479324e+03;-7.686928091018723535e+03;1.512038726863315387e+05
8.800000000000000714e-08;6.856439722110208095e+03;2.066138115393769112e+02;-3.050538686740255798e+02;1.512076690979422128e+05
9.000000000000001181e-08;4.119146278819106556e+03;-7.517539572611786980e+02;-1.642088083926209947e+03;1.512123274413174368e+05
9.200000000000000325e-08;2.223982942219915913e+03;-3.460909477750028600e+03;-2.607456944352758001e+03;1.512181096355213085e+05
9.400000000000000792e-08;7.500868025352573341e+02;-3.939060205228619452e+03;-4.540270691266770882e+03;1.512243400691163260e+05
9.600000000000001260e-08;7.500868025352573341e+02;-4.462989037945066229e+03;-3.494380659402508627e+03;1.512298551509118115e+05
9.800000000000000404e-08;1.381718073148953636e+03;-2.345617220844436815e+03;-3.489330489919855609e+03;1.512339615856027231e+05
1.000000000000000087e-07;9.605856386134735203e+02;-3.755401486700175610e+03;-2.251503792418091052e+03;1.512370756225887453e+05
1.020000000000000001e-07;3.908512680361840467e+03;1.116908875110864756e+03;-1.140451275439412711e+03;1.512403153136538458e+05
1.040000000000000048e-07;-2.408460361432469654e+03;-8.090666681614056870e+03;-6.198858811898113345e+03;1.512444975966606871e+05
1.060000000000000095e-07;1.183207695425111581e+02;-5.671830589122178935e+03;-7.208753839079608042e+03;1.512496909266204457e+05
1.080000000000000009e-07;-4.303556316842133128e+03;-1.326413635802656790e+04;-1.154145954839716069e+04;1.512553556368273566e+05
1.100000000000000056e-07;1.183207695425111581e+02;-9.291070594113956759e+03;-1.043845222667039889e+04;1.512607651356600982e+05
1.120000000000000103e-07;-3.028116649929709183e+02;-1.176303918932753731e+04;-9.904876822770922445e+03;1.512654126370874292e+05
1.140000000000000017e-07;8.540969460252128556e+03;-9.725090046874574909e+02;-3.238307405142524658e+03;1.512690790440371493e+05
1.160000000000000064e-07;1.592351671606219725e+03;-9.507384742716974870e+03;-8.597609374510182533e+03;1.512718849930600554e+05
1.180000000000000111e-07;4.329645114897319218e+03;-7.333393003959645284e+03;-6.876412321779615922e+03;1.512744766983611044e+05
1.200000000000000157e-07;6.856439722110208095e+03;-3.372313270424518578e+03;-3.762682590553413320e+03;1.512776654471896181e+05
1.220000000000000072e-07;7.698704591181168325e+03;-1.714211376371815277e+03;-1.987864077062517254e+03;1.512817562354177935e+05
1.239999999999999986e-07;5.803676016961027926e+03;-3.186859762331245747e+03;-3.458739156824332895e+03;1.512862888912916533e+05
1.260000000000000165e-07;2.855748975212663936e+03;-6.817000586806920182e+03;-6.856749818907615008e+03;1.512905474213987764e+05
1.280000000000000080e-07;-3.028116649929709183e+02;-1.129264016347140932e+04;-1.093782204661950345e+04;1.512942801067252585e+05
1.299999999999999994e-07;-7.239440995284511473e+02;-1.296298583021281229e+04;-1.284112536748114508e+04;1.512979033940897789e+05
1.320000000000000173e-07;-5.133105010711851719e+02;-1.395192441715167843e+04;-1.358125591965428248e+04;1.513021140317034442e+05
1.340000000000000088e-07;2.855748975212663936e+03;-1.110650574115083873e+04;-1.085537449694495808e+04;1.513071852003227978e+05
1.360000000000000002e-07;7.488205755102952025e+03;-5.832379033955993691e+03;-6.067172743299489412e+03;1.513126475703268079e+05
1.380000000000000181e-07;8.751603058709395555e+03;-3.815503750556418254e+03;-4.932955285633001040e+03;1.513178078883176786e+05
1.400000000000000095e-07;3.487380245826358532e+03;-1.056443076455589471e+04;-9.873659645120114874e+03;1.513223795310144196e+05
1.420000000000000010e-07;4.329645114897319218e+03;-1.013320321300653450e+04;-9.673106396319490159e+03;1.513263785557981173e+05
1.440000000000000189e-07;5.803676016961027926e+03;-7.454192661252957805e+03;-8.121975475509832904e+03;1.513299347959759471e+05
1.460000000000000103e-07;2.013484106141699840e+03;-1.129426034091345355e+04;-1.151056822632997500e+04;1.513331426350183028e+05
1.480000000000000018e-07;-1.145063057826027034e+03;-1.531442131058323321e+04;-1.427055751911818516e+04;1.513362421843295451e+05
1.500000000000000197e-07;1.381718073148953636e+03;-1.160428056051412568e+04;-1.233248881939041894e+04;1.513399148261872469e+05
1.520000000000000111e-07;-2.197894144164728459e+03;-1.536364787437526866e+04;-1.540286565390820942e+04;1.513448331003094499e+05
1.540000000000000026e-07;-3.461291447771172898e+03;-1.773322030697650916e+04;-1.688519384110127430e+04;1.513507798614119529e+05
1.560000000000000205e-07;7.500868025352573341e+02;-1.296919909598273989e+04;-1.311466264287087142e+04;1.513565110084209882e+05
1.580000000000000119e-07;2.434616540677182002e+03;-1.090320868098271603e+04;-1.162507543365916354e+04;1.513608249754187418e+05
1.600000000000000033e-07;1.171219237070739382e+03;-1.347193917989605143e+04;-1.315237299135044304e+04;1.513636704611187160e+05
1.620000000000000213e-07;1.183207695425111581e+02;-1.573181647973033432e+04;-1.667551566348995402e+04;1.513660324901926506e+05
1.640000000000000127e-07;-4.724688751377615517e+03;-2.408457465467802831e+04;-2.250051283940902795e+04;1.513690640613840660e+05
1.660000000000000041e-07;-1.145063057826027034e+03;-2.126312622437911341e+04;-2.257908359262124577e+04;1.513732409501046932e+05
1.680000000000000220e-07;-6.619784706787278992e+03;-2.972683548699032690e+04;-2.805185865088462015e+04;1.513780650150134752e+05
1.700000000000000135e-07;2.013484106141699840e+03;-2.081651111071262858e+04;-2.072981128619911033e+04;1.513829571249952132e+05
1.720000000000000049e-07;4.961411147890066786e+03;-1.554044775096763624e+04;-1.685309537159754836e+04;1.513879173282670381e+05
1.740000000000000228e-07;2.645115376755398302e+03;-1.800383929033411550e+04;-1.748107267795057851e+04;1.513928444409043295e+05
1.760000000000000143e-07;3.487380245826358532e+03;-1.601932854902417057e+04;-1.533572431045700796e+04;1.513970683388956531e+05
1.780000000000000057e-07;1.022549919839405266e+04;-6.071867181488167262e+03;-6.824825631578802131e+03;1.514000611605656741e+05
1.800000000000000236e-07;6.224808451496509406e+03;-7.815051808890362736e+03;-9.410241863205184927e+03;1.514022527701688232e+05
1.820000000000000151e-07;1.183207695425111581e+02;-1.606510412330966392e+04;-1.329392107849149761e+04;1.514047945734905661e+05
1.840000000000000065e-07;9.383234329323093334e+03;-3.563447466732548946e+03;-5.055844993228354724e+03;1.514084008753040107e+05
1.860000000000000244e-07;7.277572156645685936e+03;-4.640072700401063230e+03;-5.271857101175613934e+03;1.514126404892803985e+05
1.880000000000000158e-07;2.434616540677182002e+03;-1.071684861885322789e+04;-1.031496961450727031e+04;1.514164679751766671e+05
1.900000000000000073e-07;3.066247811290876598e+03;-1.090035001600052419e+04;-9.770888084871890896e+03;1.514192079850892478e+05
1.920000000000000252e-07;8.330470624173916804e+03;-3.685079786163078552e+03;-4.712003961642266404e+03;1.514211502486833488e+05
1.940000000000000166e-07;6.856439722110208095e+03;-4.580906053959115525e+03;-4.506652009504265152e+03;1.514232499725161470e+05
1.960000000000000081e-07;6.014174853039243317e+03;-4.794066856940044090e+03;-5.130835434193170840e+03;1.514261774834527750e+05
1.979999999999999995e-07;2.434616540677182002e+03;-8.487755005879764212e+03;-8.489392954246141016e+03;1.514298702819380851e+05
2.000000000000000174e-07;3.289543679997771051e+02;-1.130791881628695410e+04;-1.048770684548280406e+04;1.514337174909411406e+05
2.020000000000000089e-07;3.698013844283624621e+03;-7.172197256805508005e+03;-7.334472347228609578e+03;1.514372773878244334e+05
2.040000000000000003e-07;5.171909983968283086e+03;-5.035973387982665372e+03;-5.201273989881547095e+03;1.514407077200191852e+05
2.060000000000000182e-07;6.014174853039243317e+03;-3.998315220013000726e+03;-4.609334439894051684e+03;1.514440972460361663e+05
2.080000000000000096e-07;2.013484106141699840e+03;-9.251583160550762841e+03;-9.127643986473576661e+03;1.514470788722409634e+05
2.100000000000000011e-07;5.394532040779913586e+02;-1.229851985147587584e+04;-1.220138713028262646e+04;1.514495207704876666e+05
2.120000000000000190e-07;-2.619026578700210848e+03;-1.696669650029869081e+04;-1.651890112191336448e+04;1.514519205458764045e+05
2.140000000000000104e-07;1.592351671606219725e+03;-1.330584406081127599e+04;-1.194092896270269921e+04;1.514549483528132550e+05
2.160000000000000019e-07;8.751603058709395555e+03;-2.701467563983640503e+03;-4.790430050800108802e+03;1.514586886817639461e+05
2.180000000000000198e-07;4.329645114897319218e+03;-7.245748367484478877e+03;-6.716265655087579944e+03;1.514626126579472912e+05
2.200000000000000112e-07;2.855748975212663936e+03;-8.487136064965015976e+03;-8.944213087240261302e+03;1.514664904043387796e+05
2.220000000000000027e-07;3.289543679997771051e+02;-1.201127993784592945e+04;-1.124348388754663029e+04;1.514705069447896094e+05
2.240000000000000206e-07;9.605856386134735203e+02;-1.160195883941464854e+04;-1.238701259207270414e+04;1.514747091895871563e+05
2.260000000000000120e-07;-1.145063057826027034e+03;-1.594221074059473358e+04;-1.482166800597420843e+04;1.514786382428808720e+05
