# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;4.853172405758501213e+02;1.336895861959143076e+03;5.460506020939355949e+02;7.558587451459749718e+04
2.000000000000000125e-09;-1.874321362437120342e+03;-1.920430516202948638e+03;-9.797873867862218731e+02;7.558557105212614988e+04
4.000000000000000249e-09;-1.264406257423019042e+02;2.219269318918959755e+02;-7.475169443544291425e+01;7.558590025848489313e+04
6.000000000000000787e-09;-3.904664483970871913e+01;4.765728221629688619e+02;7.286160778695993940e+02;7.558584079439606285e+04
8.000000000000000498e-09;1.446656623719152321e+03;2.549459794087655609e+03;2.285593012117511535e+03;7.558591855956811924e+04
1.000000000000000021e-08;1.796232547329524550e+03;2.807777610870194621e+03;2.445324216833614628e+03;7.558634062205714872e+04
1.200000000000000157e-08;4.853172405758501213e+02;8.490491372703328352e+02;9.886132101867769961e+02;7.558644205479642551e+04
1.400000000000000129e-08;3.979232596732567799e+02;7.816149524076827220e+02;1.410078137770826288e+03;7.558634538247337332e+04
1.600000000000000100e-08;2.582778375452863202e+03;3.767018306961610961e+03;3.188702315822142282e+03;7.558650844817901088e+04
1.800000000000000236e-08;2.058414490037303949e+03;3.372157693089495297e+03;3.379375603496097028e+03;7.558628295097556838e+04
2.000000000000000042e-08;1.446656623719152321e+03;2.684595990170877485e+03;2.073193449462713033e+03;7.558624005745578324e+04
2.200000000000000178e-08;-1.961715343339713172e+03;-1.639839715007023187e+03;-8.638369229192539933e+02;7.558629188608789991e+04
2.400000000000000315e-08;-1.437351457924154602e+03;-7.945630788128037238e+02;-7.174984427564268117e+02;7.558631725472399557e+04
2.600000000000000121e-08;-1.786927381534526830e+03;-9.551076412291877205e+02;-1.219098994847925496e+03;7.558640669924447138e+04
2.800000000000000257e-08;-3.185229957333061520e+03;-2.079553796918131411e+03;-1.706754795596862095e+03;7.558596777933706471e+04
3.000000000000000394e-08;-2.573472091014909893e+03;-9.047835758809087565e+02;-7.117547091351734707e+02;7.558545308972612838e+04
3.200000000000000199e-08;-3.012285875474882459e+02;1.698602536213453277e+03;1.425627808929799357e+03;7.558531237868597964e+04
3.400000000000000005e-08;4.853172405758501213e+02;2.026241501664961334e+03;1.728131319148043985e+03;7.558517002867595875e+04
3.600000000000000472e-08;6.601052023810365199e+02;2.055072541970555903e+03;2.514490650347011979e+03;7.558485500731847424e+04
3.800000000000000278e-08;2.058414490037303949e+03;3.891887320968759468e+03;3.053041440386674367e+03;7.558526313504407881e+04
4.000000000000000084e-08;-2.138346066448950751e+02;1.154636540447478183e+03;1.760770812672926922e+03;7.558513549129436433e+04
4.200000000000000551e-08;6.601052023810365199e+02;2.118323737349856401e+03;1.700687764092333964e+03;7.558465487048028444e+04
