# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;2.230307634530300675e+03;2.587338756401317369e+03;3.053181713322628639e+02;7.744544845212819928e+04
2.000000000000000125e-09;-2.726068335634057803e+03;-5.337343093245312957e+03;-5.968057949630354415e+03;7.742479713692679070e+04
4.000000000000000249e-09;-8.611764800204236963e+03;-1.165207206224847323e+04;-8.026015011238720945e+03;7.739768919694249053e+04
6.000000000000000787e-09;-4.030149184180138491e+02;3.157494840952131199e+03;1.099228185059240786e+03;7.737740804461408698e+04
8.000000000000000498e-09;-1.022561914688560364e+03;7.814634587360633304e+02;-9.926089074637130807e+02;7.736642457623106020e+04
1.000000000000000021e-08;-5.823803316986777645e+03;-6.775365778503277397e+03;-3.417051724432654737e+03;7.735676594882142672e+04
1.200000000000000157e-08;3.624040557340525083e+03;7.117066814925557992e+03;5.754032059375676909e+03;7.734356542226787133e+04
1.400000000000000129e-08;5.792455044287424244e+03;6.045982412204088178e+03;2.365193750694379560e+03;7.733010246689250926e+04
1.600000000000000100e-08;-4.584709324445683706e+03;-1.181306655718669936e+04;-6.526732173531039734e+03;7.732243622021403280e+04
1.800000000000000236e-08;5.947589612153567032e+03;5.049446225410182706e+03;3.807685515380726429e+03;7.732028384636811097e+04
2.000000000000000042e-08;8.270643029369610304e+03;5.520895594998990418e+03;1.806057274801700260e+03;7.732254696034347580e+04
2.200000000000000178e-08;-3.190976401635473394e+03;-1.205773137604119438e+04;-9.089072544709837530e+03;7.732737789822930063e+04
2.400000000000000315e-08;-5.514029818851504388e+03;-1.170945938423978805e+04;-1.247663410956683401e+04;7.732645244457958324e+04
2.600000000000000121e-08;-1.434282233450528474e+04;-2.055408661230322105e+04;-1.806515754276022199e+04;7.732522224386500602e+04
2.800000000000000257e-08;-6.908258379258739296e+03;-2.605405121594361844e+03;1.752596747309828061e+03;7.733384938331590092e+04
3.000000000000000394e-08;1.446611299207506272e+04;2.769195941894429052e+04;1.571786644605900801e+04;7.735070390752921230e+04
3.200000000000000199e-08;-4.584709324445683706e+03;-7.041869406576793153e+03;4.027506139347970020e+02;7.736609060517042235e+04
3.400000000000000005e-08;4.398722121477213477e+03;5.841676650912239893e+03;6.945862875159946270e+01;7.737687998897283978e+04
3.600000000000000472e-08;-1.279395484382891846e+04;-2.335625693287941976e+04;-1.627365737338719373e+04;7.739204255863235448e+04
3.800000000000000278e-08;3.624040557340525083e+03;4.821901921966724331e+03;5.626004757644755045e+03;7.741155214595333382e+04
4.000000000000000084e-08;1.740920904315865118e+04;1.886467105482422630e+04;1.087161133113116375e+04;7.743573802158886974e+04
4.200000000000000551e-08;4.553361051746344856e+03;-5.959393597465794301e+03;-3.689165036696009338e+03;7.746154604875488440e+04
4.400000000000000357e-08;-4.584709324445683706e+03;-1.988457273335894570e+04;-1.804942232843776583e+04;7.748776293525593064e+04
4.600000000000000162e-08;-6.598484881123466039e+03;-1.800911284639555379e+04;-1.512272661979057193e+04;7.750539397549658315e+04
4.800000000000000630e-08;-8.674273468224183716e+02;-6.228726220293669030e+03;-7.431336171308736994e+03;7.752553159625439730e+04
5.000000000000000435e-08;5.637816114018306507e+03;5.222784807784163604e+03;4.625448366335243918e+03;7.755914883831968473e+04
5.200000000000000241e-08;5.947589612153567032e+03;2.985240860842314305e+03;-2.312076742141623981e+03;7.759488294994353782e+04
5.400000000000000047e-08;-9.850858792745315441e+03;-1.989012846242249361e+04;-1.218093120733273281e+04;7.762427430388705397e+04
5.600000000000000514e-08;2.540081132665573932e+03;2.111045023523329291e+03;-3.508556042164855171e+02;7.764858355964333168e+04
5.800000000000000320e-08;5.018269117747759992e+03;4.108435591892426601e+03;1.170913013027806301e+03;7.767610854103280872e+04
